transaction_id,account_id,transaction_type,amount,balance_after,merchant_name,merchant_category,description,status,created_at,reference_id
226,29,debit,288.72,34170.02,Walmart,Shopping,Purchase at Walmart,completed,2025-01-20 19:00:00,TXN100226
227,29,debit,192.01,34170.02,Direct Deposit,Income,Purchase at Direct Deposit,completed,2025-03-08 09:00:00,TXN100227
228,29,debit,52.25,34117.77,Netflix,Streaming,Purchase at Netflix,completed,2025-01-26 07:00:00,TXN100228
229,29,debit,154.32,34117.77,Venmo Transfer,Transfer,Purchase at Venmo Transfer,completed,2025-03-27 16:00:00,TXN100229
230,29,debit,94.5,34023.27,Amazon,Shopping,Purchase at Amazon,completed,2025-04-01 08:00:00,TXN100230
231,29,debit,46.49,33976.78,ATM Withdrawal,Cash,Purchase at ATM Withdrawal,completed,2025-03-08 16:00:00,TXN100231
232,29,debit,248.34,33728.44,CVS Pharmacy,Healthcare,Purchase at CVS Pharmacy,completed,2025-03-31 13:00:00,TXN100232
233,29,debit,266.41,33462.03,Amazon,Shopping,Purchase at Amazon,completed,2025-03-03 14:00:00,TXN100233
234,29,debit,84.81,33377.22,Target,Shopping,Purchase at Target,completed,2025-03-17 15:00:00,TXN100234
235,29,debit,304.96,33072.26,ATM Withdrawal,Cash,Purchase at ATM Withdrawal,completed,2025-02-17 10:00:00,TXN100235
236,29,debit,79.25,32993.01,Amazon,Shopping,Purchase at Amazon,completed,2025-01-08 21:00:00,TXN100236
237,29,debit,220.83,32772.18,Target,Shopping,Purchase at Target,completed,2025-04-01 08:00:00,TXN100237
238,29,debit,182.5,32772.18,Direct Deposit,Income,Purchase at Direct Deposit,completed,2025-03-14 11:00:00,TXN100238
239,29,debit,296.83,32475.35,Starbucks,Dining,Purchase at Starbucks,completed,2025-03-15 15:00:00,TXN100239
240,29,debit,234.26,32241.09,Starbucks,Dining,Purchase at Starbucks,completed,2025-01-29 11:00:00,TXN100240
241,29,debit,94.55,32146.54,Walmart,Shopping,Purchase at Walmart,completed,2025-01-03 16:00:00,TXN100241
242,29,debit,236.22,31910.32,Netflix,Streaming,Purchase at Netflix,completed,2025-03-05 14:00:00,TXN100242
243,29,debit,49.99,31860.329999999998,Airbnb,Travel,Airbnb booking hold,pending,2025-04-02 00:00:00,TXN100243
244,32,credit,5577.68,16777.68,Direct Deposit,Income,Payroll deposit,completed,2025-01-02 00:00:00,TXN100244
245,32,credit,5542.35,22320.03,Direct Deposit,Income,Payroll deposit,completed,2025-01-16 00:00:00,TXN100245
246,32,credit,3694.25,26014.28,Direct Deposit,Income,Payroll deposit,completed,2025-02-01 00:00:00,TXN100246
247,32,credit,5028.46,31042.739999999998,Direct Deposit,Income,Payroll deposit,completed,2025-02-15 00:00:00,TXN100247
248,32,credit,6221.26,37264.0,Direct Deposit,Income,Payroll deposit,completed,2025-03-03 00:00:00,TXN100248
249,32,credit,6212.48,43476.479999999996,Direct Deposit,Income,Payroll deposit,completed,2025-03-17 00:00:00,TXN100249
250,32,debit,62.39,43414.09,Whole Foods,Groceries,Purchase at Whole Foods,completed,2025-01-24 20:00:00,TXN100250
251,32,debit,277.58,43136.509999999995,Target,Shopping,Purchase at Target,completed,2025-03-13 17:00:00,TXN100251
252,32,debit,70.68,43065.829999999994,Target,Shopping,Purchase at Target,completed,2025-01-30 11:00:00,TXN100252
253,32,debit,8.57,43057.259999999995,Walmart,Shopping,Purchase at Walmart,completed,2025-03-11 20:00:00,TXN100253
254,32,debit,230.63,43057.259999999995,Venmo Transfer,Transfer,Purchase at Venmo Transfer,completed,2025-03-05 10:00:00,TXN100254
255,32,debit,335.91,42721.34999999999,Walmart,Shopping,Purchase at Walmart,completed,2025-01-20 20:00:00,TXN100255
256,32,debit,69.31,42652.03999999999,Whole Foods,Groceries,Purchase at Whole Foods,completed,2025-01-25 15:00:00,TXN100256
257,32,debit,179.42,42472.619999999995,Target,Shopping,Purchase at Target,completed,2025-01-13 21:00:00,TXN100257
258,32,debit,327.76,42144.85999999999,Shell Gas,Gas & Auto,Purchase at Shell Gas,completed,2025-01-24 15:00:00,TXN100258
259,32,debit,151.02,41993.84,Uber,Transport,Purchase at Uber,completed,2025-02-05 20:00:00,TXN100259
260,32,debit,239.28,41993.84,Direct Deposit,Income,Purchase at Direct Deposit,completed,2025-01-04 19:00:00,TXN100260
261,32,debit,46.97,41946.869999999995,Walmart,Shopping,Purchase at Walmart,completed,2025-02-09 14:00:00,TXN100261
262,32,debit,25.35,41946.869999999995,Direct Deposit,Income,Purchase at Direct Deposit,completed,2025-01-29 21:00:00,TXN100262
263,32,debit,93.84,41853.03,CVS Pharmacy,Healthcare,Purchase at CVS Pharmacy,completed,2025-02-26 21:00:00,TXN100263
264,32,debit,23.58,41829.45,Shell Gas,Gas & Auto,Purchase at Shell Gas,completed,2025-02-21 07:00:00,TXN100264
265,32,debit,60.57,41768.88,Amazon,Shopping,Purchase at Amazon,completed,2025-02-25 08:00:00,TXN100265
266,32,debit,10.57,41758.31,Target,Shopping,Purchase at Target,completed,2025-02-21 22:00:00,TXN100266
267,32,debit,146.98,41611.329999999994,Whole Foods,Groceries,Purchase at Whole Foods,completed,2025-01-08 15:00:00,TXN100267
268,32,debit,344.84,41266.49,Starbucks,Dining,Purchase at Starbucks,completed,2025-02-12 10:00:00,TXN100268
269,32,debit,29.67,41236.82,CVS Pharmacy,Healthcare,Purchase at CVS Pharmacy,completed,2025-02-25 14:00:00,TXN100269
270,32,debit,49.99,41186.83,Airbnb,Travel,Airbnb booking hold,pending,2025-04-02 00:00:00,TXN100270
271,1,transfer_out,250.0,31256.63,Internal Transfer,Transfer,Transfer to account 4,completed,2025-03-10 14:22:00,TXN100271
272,4,transfer_in,250.0,33785.840000000026,Internal Transfer,Transfer,Transfer from account 1,completed,2025-03-10 14:22:00,TXN100272
273,15,transfer_out,100.0,43871.420000000006,Internal Transfer,Transfer,Transfer to account 22,completed,2025-03-15 09:45:00,TXN100273
274,22,transfer_in,100.0,32918.94000000002,Internal Transfer,Transfer,Transfer from account 15,completed,2025-03-15 09:45:00,TXN100274
275,8,transfer_out,500.0,56897.51999999999,Internal Transfer,Transfer,Transfer to account 29,completed,2025-03-20 16:10:00,TXN100275
276,29,transfer_in,500.0,32360.329999999998,Internal Transfer,Transfer,Transfer from account 8,completed,2025-03-20 16:10:00,TXN100276
